# x,p
0.0000000000000000,0.0000000000000000
0.1000000000000000,1646838191911872000.0000000000000000
0.2000000000000000,5245617878355322880.0000000000000000
0.3000000000000000,12426729622493943808.0000000000000000
0.4000000000000000,25943261117043863552.0000000000000000
0.5000000000000000,50325335712951500800.0000000000000000
0.6000000000000000,92844273048902598656.0000000000000000
0.7000000000000000,164882345541505122304.0000000000000000
0.8000000000000000,283788894232676630528.0000000000000000
0.9000000000000000,475231035113773268992.0000000000000000
1.0000000000000000,775855181612223823872.0000000000000000
