# x,p
0.0000000000000000,0.0000000000000000
0.1000000000000000,368479640.6721712946891785
0.2000000000000000,913100926.1788043975830078
0.3000000000000000,1682916826.4362654685974121
0.4000000000000000,2733508938.6010079383850098
0.5000000000000000,4125287965.5840139389038086
0.6000000000000000,5920341964.4478626251220703
0.7000000000000000,8177449780.4050350189208984
0.8000000000000000,10945093278.7460784912109375
0.9000000000000000,14252946069.4159164428710938
1.0000000000000000,18103826060.9009361267089844
