# x,p
0.0000000000000000,0.0000000000000000
0.1000000000000000,139755395837337763053568.0000000000000000
0.2000000000000000,502666676105145026084864.0000000000000000
0.3000000000000000,1344640176367896253956096.0000000000000000
0.4000000000000000,3169856422230830060929024.0000000000000000
0.5000000000000000,6943325030645586624249856.0000000000000000
0.6000000000000000,14464443384622580678787072.0000000000000000
0.7000000000000000,29005913870113024004587520.0000000000000000
0.8000000000000000,56373316056312797066166272.0000000000000000
0.9000000000000000,106597929993111907839508480.0000000000000000
1.0000000000000000,196512613632306647234772992.0000000000000000
