# x,p
0.0000000000000000,0.0000000000000000
0.1000000000000000,2335252209591.7602539062500000
0.2000000000000000,6413801863576.3398437500000000
0.3000000000000000,13101228236172.8437500000000000
0.4000000000000000,23583936145517.0078125000000000
0.5000000000000000,39447111585667.5781250000000000
0.6000000000000000,62750986224385.2031250000000000
0.7000000000000000,96089596982034.9062500000000000
0.8000000000000000,142604760373562.8125000000000000
0.9000000000000000,205910963637942.7812500000000000
1.0000000000000000,289862390999253.8750000000000000
