# x,p
0.0000000000000000,0.0000000000000000
0.1000000000000000,24324047131112867857694720.0000000000000000
0.2000000000000000,92400976774511573229109248.0000000000000000
0.3000000000000000,261054850012928109715652608.0000000000000000
0.4000000000000000,649971763022072814157955072.0000000000000000
0.5000000000000000,1503666796631732351861260288.0000000000000000
0.6000000000000000,3308377477031578797862813696.0000000000000000
0.7000000000000000,7006951286974667583689588736.0000000000000000
0.8000000000000000,14382862974037517856086687744.0000000000000000
0.9000000000000000,28724319429932980332683853824.0000000000000000
1.0000000000000000,55926884102607683052892061696.0000000000000000
