# x,p
0.0000000000000000,0.0000000000000000
0.1000000000000000,2832205026751822.0000000000000000
0.2000000000000000,8417440089705003.0000000000000000
0.3000000000000000,18605864499564696.0000000000000000
0.4000000000000000,36243254994707264.0000000000000000
0.5000000000000000,65599259558083928.0000000000000000
0.6000000000000000,112921597465598832.0000000000000000
0.7000000000000000,187113745398221568.0000000000000000
0.8000000000000000,300494530444929664.0000000000000000
0.9000000000000000,469521628509614592.0000000000000000
1.0000000000000000,715222402311928320.0000000000000000
