# t,f_exact,f_approx,error
0.0000000000000000,1.0000000000000000,1.0000000000000000,0.0000000000000000
0.1000000000000000,1.1051709180756477,1.1051709180756477,0.0000000000000000
0.2000000000000000,1.2214027581601699,1.2156880098832126,0.0057147482769573
0.3000000000000000,1.3498588075760032,1.3372568108715339,0.0126019967044693
0.4000000000000000,1.4918246976412703,1.4709824919586874,0.0208422056825830
0.5000000000000000,1.6487212707001282,1.6180807411545561,0.0306405295455721
0.6000000000000001,1.8221188003905091,1.7798888152700116,0.0422299851204975
0.7000000000000001,2.0137527074704766,1.9578776967970128,0.0558750106734638
0.8000000000000000,2.2255409284924679,2.1536654664767143,0.0718754620157536
0.9000000000000000,2.4596031111569499,2.3690320131243858,0.0905710980325640
1.0000000000000000,2.7182818284590451,2.6059352144368244,0.1123466140222207
1.1000000000000001,3.0041660239464334,2.8665287358805069,0.1376372880659265
1.2000000000000002,3.3201169227365481,3.1531816094685574,0.1669353132679907
1.3000000000000000,3.6692966676192444,3.4684997704154132,0.2007968972038312
1.4000000000000001,4.0551999668446754,3.8153497474569544,0.2398502193877210
1.5000000000000000,4.4816890703380645,4.1968847222026495,0.2848043481354150
1.6000000000000001,4.9530324243951149,4.6165731944229140,0.3364592299722009
1.7000000000000002,5.4739473917272008,5.0782305138652051,0.3957168778619957
1.8000000000000000,6.0496474644129465,5.5860535652517260,0.4635938991612205
1.9000000000000001,6.6858944422792703,6.1446589217768990,0.5412355205023713
2.0000000000000000,7.3890560989306504,6.7591248139545890,0.6299312849760614
2.1000000000000001,8.1661699125676517,7.4350372953500479,0.7311326172176038
2.2000000000000002,9.0250134994341220,8.1785410248850532,0.8464724745490688
2.3000000000000003,9.9741824548147235,8.9963951273735585,0.9777873274411650
2.4000000000000004,11.0231763806416048,9.8960346401109138,1.1271417405306909
2.5000000000000000,12.1824939607034732,10.8856381041220054,1.2968558565814678
2.6000000000000001,13.4637380350016915,11.9742019145342056,1.4895361204674860
2.7000000000000002,14.8797317248728369,13.1716221059876268,1.7081096188852101
2.8000000000000003,16.4446467710970552,14.4887843165863899,1.9558624545106653
2.9000000000000004,18.1741453694430675,15.9376627482450282,2.2364826211980393
3.0000000000000000,20.0855369231876679,17.5314290230695313,2.5541079001181366
3.1000000000000001,22.1979512814416360,19.2845719253764827,2.9133793560651533
3.2000000000000002,24.5325301971093523,21.2130291179141324,3.3195010791952200
3.3000000000000003,27.1126389206578935,23.3343320297055463,3.7783068909523472
3.4000000000000004,29.9641000473970252,25.6677652326760999,4.2963348147209253
3.5000000000000000,33.1154519586923115,28.2345417559437095,4.8809102027486020
3.6000000000000001,36.5982344436779883,31.0579959315380805,5.5402385121399078
3.7000000000000002,40.4473043600673989,34.1637955246918921,6.2835088353755069
3.8000000000000003,44.7011844933008362,37.5801750771610799,7.1210094161397564
3.9000000000000004,49.4024491055301880,41.3381925848771914,8.0642565206529966
4.0000000000000000,54.5981500331442362,45.4720118433649105,9.1261381897793257
4.1000000000000005,60.3402875973619999,50.0192130277014044,10.3210745696605954
4.2000000000000002,66.6863310409251540,55.0211343304715470,11.6651967104536070
4.2999999999999998,73.6997936995957872,60.5232477635187038,13.1765459360770834
4.4000000000000004,81.4508686649681408,66.5755725398705778,14.8752961250975630
4.5000000000000000,90.0171313005218110,73.2331297938576427,16.7840015066641683
4.6000000000000005,99.4843156419338612,80.5564427732434041,18.9278728686904572
4.7000000000000002,109.9471724521235245,88.6120870505677374,21.3350854015557871
4.8000000000000007,121.5104175187349682,97.4732957556245054,24.0371217631104628
4.9000000000000004,134.2897796849355245,107.2206253311869517,27.0691543537485728
5.0000000000000000,148.4131591025765999,117.9426878643056398,30.4704712382709602
5.1000000000000005,164.0219072999018408,129.7369566507362038,34.2849506491656371
5.2000000000000002,181.2722418751512237,142.7106523158098241,38.5615895593413995
5.3000000000000007,200.3368099747918336,156.9817175473908151,43.3550924274010185
5.4000000000000004,221.4064162041871668,172.6798893021299079,48.7265269020572589
5.5000000000000000,244.6919322642203838,189.9478782323429016,54.7440540318774822
5.6000000000000005,270.4264074261527639,208.9426660555772060,61.4837413705755580
5.7000000000000002,298.8674009670602914,229.8369326611349379,69.0304683059253534
5.8000000000000007,330.2995599096489059,252.8206259272484431,77.4789339824004628
5.9000000000000004,365.0374678653288925,278.1026885199732988,86.9347793453555937
6.0000000000000000,403.4287934927351102,305.9129573719706059,97.5158361207645044
6.1000000000000005,445.8577700825171632,336.5042531091676778,109.3535169733494854
6.2000000000000002,492.7490410932563236,370.1546784200844513,122.5943626731718723
6.3000000000000007,544.5719101259294348,407.1701462620928851,137.4017638638365497
6.4000000000000004,601.8450378720822300,447.8871608883021622,153.9578769837800678
6.5000000000000000,665.1416330443618108,492.6758769771323614,172.4657560672294494
6.6000000000000005,735.0951892419732303,541.9434646748455862,193.1517245671276441
6.7000000000000002,812.4058251675432984,596.1378111423301789,216.2680140252131196
6.8000000000000007,897.8472916504183559,655.7515922565631854,242.0956993938551705
6.9000000000000004,992.2747156050262447,721.3267514822194926,270.9479641228067521
7.0000000000000000,1096.6331584284585006,793.4594266304413850,303.1737317980171156
7.1000000000000005,1211.9670744925774670,872.8053692934855690,339.1617051990918981
7.2000000000000002,1339.4307643944180199,960.0859062228341827,379.3448581715838372
7.3000000000000007,1480.2999275845463671,1056.0944968451176464,424.2054307394287207
7.4000000000000004,1635.9844299959270302,1161.7039465296293201,474.2804834662977100
7.5000000000000000,1808.0424144560631703,1277.8743411825921612,530.1680732734710091
7.6000000000000005,1998.1958951041190176,1405.6617753008513318,592.5341198032676857
