# t,f_exact,f_approx,error
0.0000000000000000,1.0000000000000000,1.0000000000000000,0.0000000000000000
0.1000000000000000,1.1051709180756477,1.1051709180756477,0.0000000000000000
0.2000000000000000,1.2214027581601699,1.2214767917687799,-0.0000740336086100
0.3000000000000000,1.3498588075760032,1.3499921310197820,-0.0001333234437788
0.4000000000000000,1.4918246976412703,1.4919970957932511,-0.0001723981519808
0.5000000000000000,1.6487212707001282,1.6489060375556377,-0.0001847668555095
0.6000000000000001,1.8221188003905091,1.8222815215409280,-0.0001627211504189
0.7000000000000001,2.0137527074704766,2.0138498526929731,-0.0000971452224965
0.8000000000000000,2.2255409284924679,2.2255182295584945,0.0000226989339733
0.9000000000000000,2.4596031111569499,2.4593936951481732,0.0002094160087767
1.0000000000000000,2.7182818284590451,2.7178040729225552,0.0004777555364899
1.1000000000000001,3.0041660239464334,3.0033210958326149,0.0008449281138185
1.2000000000000002,3.3201169227365481,3.3187859581269183,0.0013309646096298
1.3000000000000000,3.6692966676192444,3.6673375436981415,0.0019591239211030
1.4000000000000001,4.0551999668446754,4.0524436113225235,0.0027563555221519
1.5000000000000000,4.4816890703380645,4.4779352465108024,0.0037538238272621
1.6000000000000001,4.9530324243951149,4.9480449221298439,0.0049875022652710
1.7000000000000002,5.4739473917272008,5.4674485457927551,0.0064988459344457
1.8000000000000000,6.0496474644129465,6.0413119116075995,0.0083355528053470
1.9000000000000001,6.6858944422792703,6.6753420176141471,0.0105524246651232
2.0000000000000000,7.3890560989306504,7.3758437585586867,0.0132123403719637
2.1000000000000001,8.1661699125676517,8.1497825570387192,0.0163873555289324
2.2000000000000002,9.0250134994341220,9.0048535550223772,0.0201599444117448
2.3000000000000003,9.9741824548147235,9.9495580528973715,0.0246244019173520
2.4000000000000004,11.0231763806416048,10.9932879551781095,0.0298884254634952
2.5000000000000000,12.1824939607034732,12.1464190615120717,0.0360748991914015
2.6000000000000001,13.4637380350016915,13.4204141294671970,0.0433239055344945
2.7000000000000002,14.8797317248728369,14.8279367326232538,0.0517949922495831
2.8000000000000003,16.4446467710970552,16.3829770446955436,0.0616697264015116
2.9000000000000004,18.1741453694430675,18.1009907988534806,0.0731545705895869
3.0000000000000000,20.0855369231876679,19.9990528022357310,0.0864841209519369
3.1000000000000001,22.1979512814416360,22.0960265302068741,0.1019247512347619
3.2000000000000002,24.5325301971093523,24.4127514845834988,0.1197787125258536
3.3000000000000003,27.1126389206578935,26.9722501764659270,0.1403887441919665
3.4000000000000004,29.9641000473970252,29.7999567891971537,0.1641432581998714
3.5000000000000000,33.1154519586923115,32.9239697922684655,0.1914821664238460
3.6000000000000001,36.5982344436779883,36.3753310148396665,0.2229034288383218
3.7000000000000002,40.4473043600673989,40.1883339503025212,0.2589704097648777
3.8000000000000003,44.7011844933008362,44.4008643535987630,0.3003201397020732
3.9000000000000004,49.4024491055301880,49.0547765136909391,0.3476725918392489
4.0000000000000000,54.5981500331442362,54.1963089378605005,0.4018410952837357
4.1000000000000005,60.3402875973619999,59.8765435758906790,0.4637440214713209
4.2000000000000002,66.6863310409251540,66.1519131445686952,0.5344178963564588
4.2999999999999998,73.6997936995957872,73.0847615906062771,0.6150321089895101
4.4000000000000004,81.4508686649681408,80.7439632577729327,0.7069054071952081
4.5000000000000000,90.0171313005218110,89.2056069070029167,0.8115243935188943
4.6000000000000005,99.4843156419338612,98.5537513822637834,0.9305642596700778
4.7000000000000002,109.9471724521235245,108.8812604264572315,1.0659120256662931
4.8000000000000007,121.5104175187349682,120.2907249376268624,1.2196925811081059
4.9000000000000004,134.2897796849355245,132.8954818240779616,1.3942978608575629
5.0000000000000000,148.4131591025765999,146.8207395762947556,1.5924195262818444
5.1000000000000005,164.0219072999018408,162.2048217332958302,1.8170855666060106
5.2000000000000002,181.2722418751512237,179.2005405918242786,2.0717012833269450
5.3000000000000007,200.3368099747918336,197.9767148001493524,2.3600951746424812
5.4000000000000004,221.4064162041871668,218.7198459071075831,2.6865702970795837
5.5000000000000000,244.6919322642203838,241.6359705155196593,3.0559617487007245
5.6000000000000005,270.4264074261527639,266.9527064329632822,3.4737009931894818
5.7000000000000002,298.8674009670602914,294.9215131393764295,3.9458878276838618
5.8000000000000007,330.2995599096489059,325.8201890192415817,4.4793708904073242
5.9000000000000004,365.0374678653288925,359.9556301572961843,5.0818377080327082
6.0000000000000000,403.4287934927351102,397.6668780941726027,5.7619153985625076
6.1000000000000005,445.8577700825171632,439.3284868078899308,6.5292832746272325
6.2000000000000002,492.7490410932563236,485.3542423571938684,7.3947987360624552
6.3000000000000007,544.5719101259294348,536.2012721248489697,8.3706380010804651
6.4000000000000004,601.8450378720822300,592.3745844679107222,9.4704534041715078
6.5000000000000000,665.1416330443618108,654.4320838561586697,10.7095491882031411
6.6000000000000005,735.0951892419732303,722.9901113017058378,12.1050779402673925
6.7000000000000002,812.4058251675432984,798.7295650991986804,13.6762600683446180
6.8000000000000007,897.8472916504183559,882.4026626587904047,15.4446289916279511
6.9000000000000004,992.2747156050262447,974.8404105804360142,17.4343050245902305
7.0000000000000000,1096.6331584284585006,1076.9608571512383151,19.6723012772201855
7.1000000000000005,1211.9670744925774670,1189.7782092174124955,22.1888652751649715
7.2000000000000002,1339.4307643944180199,1314.4129039660981562,25.0178604283198638
7.3000000000000007,1480.2999275845463671,1452.1027356349597994,28.1971919495865677
7.4000000000000004,1635.9844299959270302,1604.2151476434571578,31.7692823524698724
7.5000000000000000,1808.0424144560631703,1772.2608122128640389,35.7816022431991314
